id,bought_id,product_name,buy_price,bought_date,expiration_date
1,1,Sinas,0.50,2022-8-1,2022-12-31
1,2,Sinas,0.50,2022-8-1,2022-12-31
2,3,Cola,0.60,2022-8-1,2022-12-31
2,4,Cola,0.60,2022-8-1,2022-12-31
2,5,Cola,0.60,2022-8-1,2022-12-31
1,6,Sinas,0.50,2022-8-1,2022-12-31
1,7,Sinas,0.50,2022-8-1,2022-12-31
2,8,Cola,0.60,2022-8-1,2022-12-31
2,9,Cola,0.60,2022-8-1,2022-12-31
1,10,Sinas,0.50,2022-9-1,2022-12-31
3,11,Casis,0.7,2022-10-03,2023-06-06
3,12,Casis,0.7,2022-10-03,2023-06-06
4,13,Melk,0.2,2022-10-01,2022-10-14
4,14,Melk,0.2,2022-10-01,2022-10-14
10,15,Bier,0.5,2022-11-14,2023-04-20
9,16,Perensap,0.5,2022-11-14,2023-01-07
9,17,Perensap,0.5,2022-11-14,2023-01-07
